City,male,female,Young_Age,Working_Age,Old_Age,male_ratio,female_ratio,Young_Age_ratio,Working_Age_ratio,Old_Age_ratio,disposable income
新北市,1965488,2081513,445094,2833415,768492,0.485665311,0.514334689,0.109981193,0.700127082,0.189891725,439673
台北市,1174537,1316332,303025,1613386,574458,0.471537042,0.528462958,0.12165433,0.647720133,0.230625537,540380
桃園市,1151696,1186952,314517,1652656,371475,0.492462312,0.507537688,0.134486678,0.706671547,0.158841775,403802
台中市,1396597,1464004,372571,2013782,474248,0.488218035,0.511781965,0.130242211,0.703971648,0.165786141,394704
台南市,921613,937038,208629,1285907,364115,0.495850485,0.504149515,0.112247539,0.691849626,0.195902835,345618
高雄市,1337224,1394188,300237,1886908,544267,0.489572426,0.510427574,0.109920071,0.690817789,0.19926214,392459
宜蘭縣,225131,224081,50059,309535,89618,0.501168713,0.498831287,0.111437361,0.68906218,0.199500459,356193
新竹縣,302644,291997,89968,418585,86088,0.50895246,0.49104754,0.15129801,0.703928925,0.144773065,474837
苗栗縣,273824,259030,60385,368301,104168,0.513881851,0.486118149,0.113323725,0.691185578,0.195490697,369309
彰化縣,621327,604348,142804,843947,238924,0.506926388,0.493073612,0.116510494,0.688556918,0.194932588,329084
南投縣,240207,232092,47907,321712,102680,0.508590956,0.491409044,0.101433626,0.681161722,0.217404653,330292
雲林縣,338587,319840,69883,449615,138929,0.514236202,0.485763798,0.106136291,0.682862337,0.211001371,352839
嘉義縣,247718,231068,40199,327523,111064,0.517387726,0.482612274,0.083960266,0.68406971,0.231970024,314778
屏東縣,399227,390012,79350,544357,165532,0.505837902,0.494162098,0.100539887,0.689723899,0.209736214,333220
台東縣,107085,103134,23015,144920,42284,0.509397343,0.490602657,0.109481065,0.689376317,0.201142618,330321
花蓮縣,158193,157181,34625,215637,65112,0.501604444,0.498395556,0.109790281,0.683750087,0.206459632,368048
澎湖縣,55167,52734,10354,76072,21475,0.511274224,0.488725776,0.095958332,0.705016636,0.199025032,372279
基隆市,179315,182126,34224,250373,76844,0.496111399,0.503888601,0.094687653,0.6927078,0.212604547,357347
新竹市,225641,231601,70773,316086,70383,0.493482663,0.506517337,0.154782369,0.691288202,0.153929429,502089
嘉義市,125664,136513,32100,179976,50101,0.479309779,0.520690221,0.122436369,0.686467539,0.191096092,394613
金門縣,79308,78243,11288,106107,26206,0.503379858,0.496620142,0.078606695,0.73890154,0.182491765,404998
連江縣,71254,72347,1379,10327,2244,0.496194316,0.503805684,0.098853047,0.740286738,0.160860215,432066
全國,11526193,11874027,2742386,16169127,4488707,0.492567719,0.507432281,0.117194881,0.690981837,0.191823282,407422
